# Метеостанция Москва (ВДНХ), Россия, WMO_ID=27612, выборка с 01.02.2005 по 03.07.2022, все дни
# Кодировка: UTF-8
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=27612&lang=ru
#
"Местное время в Москве (ВДНХ)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"03.07.2022 12:00";"27.6";"748.6";"761.3";"-0.1";"39";"Ветер, дующий с севера";"2";"";"";"20–30%.";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"20–30%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"12.4";"";"";"";"";"";"";
"03.07.2022 09:00";"23.5";"748.7";"761.6";"-0.2";"57";"Ветер, дующий с севера";"1";"";"";"10%  или менее, но не 0";" ";"";"";"16.9";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"14.6";"0.4";"12";"Поверхность почвы влажная.";"17.0";"";"";
"03.07.2022 06:00";"19.6";"748.9";"762.1";"-0.2";"62";"Ветер, дующий с северо-запада";"1";"";"";"20–30%.";" ";"";"";"16.9";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"12.1";"0.4";"12";"";"";"";"";
"03.07.2022 03:00";"17.8";"749.1";"762.3";"-1.0";"77";"Ветер, дующий с запада";"1";"";"";"70 – 80%.";"Ливневый(ые) дождь(и). ";"Ливень (ливни).";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"13.7";"";"";"";"";"";"";
"03.07.2022 00:00";"18.6";"750.1";"763.3";"-0.4";"61";"Штиль, безветрие";"0";"";"";"40%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"40%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"10.8";"";"";"";"";"";"";
"02.07.2022 21:00";"23.2";"750.5";"763.5";"-0.5";"38";"Ветер, дующий с западо-северо-запада";"1";"";"";"50%.";" ";"";"";"";"25.5";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"50%.";"2500 или более, или облаков нет.";"Высококучевые башенкообразные или хлопьевидные.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"8.0";"Осадков нет";"12";"";"";"";"";
"02.07.2022 18:00";"25.1";"751.0";"763.9";"-1.1";"29";"Ветер, дующий с северо-северо-запада";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"5.7";"Осадков нет";"12";"";"";"";"";
"02.07.2022 15:00";"24.6";"752.1";"765.1";"-1.3";"30";"Ветер, дующий с севера";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"6.0";"";"";"";"";"";"";
"02.07.2022 12:00";"22.5";"753.4";"766.6";"-0.9";"31";"Ветер, дующий с севера";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"4.7";"";"";"";"";"";"";
"02.07.2022 09:00";"19.8";"754.3";"767.5";"-0.1";"37";"Ветер, дующий с севера";"3";"";"";"Облаков нет.";" ";"";"";"10.3";"";"";"";"";"";"";"20.0";"4.5";"Осадков нет";"12";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"13.0";"";"";
"02.07.2022 06:00";"13.3";"754.4";"767.9";"0.5";"70";"Штиль, безветрие";"0";"";"";"20–30%.";" ";"";"";"10.3";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"7.9";"Осадков нет";"12";"";"";"";"";
"02.07.2022 03:00";"10.9";"753.9";"767.5";"0.3";"76";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"6.8";"";"";"";"";"";"";
"02.07.2022 00:00";"14.1";"753.6";"767.1";"0.7";"60";"Ветер, дующий с запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"6.5";"";"";"";"";"";"";
"01.07.2022 21:00";"18.5";"752.9";"766.2";"1.0";"37";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"22.5";"";"";"";"";"";"20.0";"3.5";"Осадков нет";"12";"";"";"";"";
"01.07.2022 18:00";"21.7";"751.9";"765.0";"0.3";"26";"Ветер, дующий с востоко-северо-востока";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"1.5";"Осадков нет";"12";"";"";"";"";
